Geneid,0,1,2,3,4,5,6,7,8,9
HKK26_RS00070,-0.0347545173733435,-0.011846830885946465,0.009965576321778948,-0.0007345192034679519,0.0011884672145115217,-0.0424790548758987,-0.0013614284203284095,0.03980181391172449,0.02331441139710417,-0.019799627590200784
HKK26_RS00075,-0.016295421033139218,-0.017880796959070938,0.007993308588135465,-0.0008836134243842864,-0.0036412249118210516,-0.04401911638957958,-0.0352133946702997,0.059680584188513894,0.018286553545782767,0.0022529963150413174
HKK26_RS00080,-0.009592739848036854,0.015313496664059276,-0.00341153388178591,0.006533386111755003,-0.0016647322943462222,-0.011596846979884674,-0.01653975387434885,0.031202092029764043,-0.012761384004207503,-0.00775976331808804
HKK26_RS00085,0.010309994087199044,-0.06277980511479915,-0.02210223147795995,0.020306996091122253,-0.010320953736747827,-0.0026002616312811007,-0.037235852326758856,0.0297224624178558,-0.0001358896897390764,-0.025550030155966564
HKK26_RS00090,-0.020167635684709917,0.010511441671469461,-0.006739552057151973,0.013396344994391263,-0.004934223542136063,-0.015389023698648252,-0.0012935011444236133,0.03554537341493537,-0.016114519376383914,-0.0020501376604841245
HKK26_RS00095,-0.010639805079269283,0.028890665496906963,0.0049606640472977,0.01098187765163085,-0.013543811753448244,-0.025568229667885935,-0.018905062678638108,0.027528187082760173,-0.012818611356833398,-0.008350151520334647
HKK26_RS00100,-0.004591650430279085,0.031193516659735375,0.017261314663425134,0.013364892153326693,-0.01047421017209806,-0.012669481818506396,-0.02820795336818663,0.00701331896475976,-0.014795954130176365,-0.008352584419533902
HKK26_RS00105,-0.005324965380942198,0.011493138154057971,0.013800657378510573,0.00480701142159063,-0.009086804769800016,-0.006704257893375529,-0.016001937372803407,0.02962866370750732,-0.010478604481783503,0.0027941462508210622
HKK26_RS00110,-0.005814807081826606,0.01988687642869679,-0.022831138263030248,-0.002001084538961494,-0.02128997770228211,-0.011523573293726505,-0.013795818811437108,0.010287047657204411,-0.0018933111785011522,-0.008246134079077334
HKK26_RS00115,-0.0032780031211784855,0.005620677442866004,-0.030032341205332814,-0.010774322382196657,-0.0265872270848568,-0.0168108397590313,-0.009850301637334434,0.00840168208041912,-0.01126443178871677,-0.026794022196554385
HKK26_RS00120,-0.011199861544402329,0.022038669050226375,0.03494071806091921,0.003223913769644315,-0.0179085234767885,-0.027965791806657102,-0.014894904243742275,0.026791956608025212,0.009435155071979168,0.004519059104073681
HKK26_RS00125,0.00496418127435542,0.012044542949720188,0.024276563899978506,0.0070066502001231105,-0.0165839957038222,-0.033555411041504855,0.003200477033712395,0.023949691075685182,0.016542948066189635,-0.006129882050035308
HKK26_RS00130,-0.012214514809679118,0.00786838389500913,-0.0023630203088962033,-0.006446353882901014,-0.014486116275554179,0.017340298884219146,0.014173301175164072,0.03336128824602256,-0.00035803148760017776,-0.008069049542044147
HKK26_RS00135,-0.01581452736158716,0.009654030852824895,-0.009459627359244762,-0.0069617796175402554,-0.002302520952698773,-0.015203224706640843,-0.004756047755866747,0.03441128181803893,-0.011171137683483334,0.0025777702043808088
HKK26_RS00140,-0.010714712016832655,0.011185947219675698,-0.02161333054550778,-0.03027457425329879,-0.0015089580988600542,-0.022938413239449108,0.02155382456495793,0.053076402058217835,-0.02516897844184678,0.021498255949101173
HKK26_RS00145,-0.008188148039283104,0.010224822561038589,-0.014379167878615255,-0.02085641451936528,0.006678520681291602,-0.019766198167439117,0.023850710234792873,0.03383306392416645,-0.007477720110914149,-0.0019501122607864635
HKK26_RS00150,-0.0034672053870699183,0.013380193486117216,-0.0024769650349644157,-0.03268661323678533,0.005163880229815181,-0.02101674312227242,0.016431868532970895,0.022550619980008433,-0.02407243072891028,0.006039396297243093
HKK26_RS00155,-0.00813179879338748,0.047476411823969326,0.01802026341902629,0.0025819028971977498,-0.015235838337837008,-0.013467793452669885,0.008251776840561626,0.030035324404118234,0.007464465817032684,0.007751066497473107
HKK26_RS00160,-0.0031498747401396423,-0.009728339720662534,-0.02464652672295876,-0.023550872508787863,-0.01007376164520073,-0.05872344277876309,0.027640157601538942,0.07399578027801908,-0.0055089682516414095,0.009415238530662399
HKK26_RS00165,-0.010757375544900775,0.029760889916625854,-0.02516997347270402,0.0022174740241279944,0.004585082427204328,-0.056533340038817374,0.010038451311357992,0.053580130508800415,-0.027570266551172326,0.010746009687462968
HKK26_RS00170,0.0028239554418248393,0.03091488768049217,-0.00826216493532503,0.01500001718180093,-0.023289540231601,-0.03730117764591289,0.0583908836267058,0.023861358166552486,0.0003920330786607319,0.005244548183940783
HKK26_RS00175,0.03083628197802131,0.028121072440683573,-0.004090648477041423,0.02646694644302185,-0.009761403446430011,-0.058913263209800434,0.030126053467485994,0.0014752419617572988,0.010413873150144042,-0.0012902683279221784
HKK26_RS00180,-0.00311050400355271,0.025443804855701038,-0.0022854443478783075,0.009497495866782099,-0.010389854886835036,-0.012927737326632473,0.029767497733071847,0.027409419533668867,0.006307756082669549,0.0016817077125072773
HKK26_RS00185,0.023094815533451496,0.022588477629181137,-0.0025022841893197704,0.008691624965654903,-0.010974112872354629,-0.0212786567689881,0.012295495922298488,0.027595340574802486,-0.008877262514630675,-0.015461222687086213
HKK26_RS00190,-0.004984644783336261,0.012593010667990354,-0.01580222782667782,-0.0053415983840734435,0.0017978118477276642,-0.015471635955650516,0.014523463114060473,0.04057742654463582,-0.016116909137778163,0.012588561830398448
