	mRNA-sense	mRNA-antisense	rRNA-sense	rRNA-antisense	tRNA-sense	tRNA-antisense	ncRNA-sense	ncRNA-antisense	unannotated	total-reads	unaligned	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX4105499	811581.0	50987.0	3039907.0	911972.0	0.0	0.0	0.0	0.0	253601.0	12680705.0	7612657.0	SRX4105499_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12680705.0	0.0	20-50	54.0	6.277139058615826	49.40152247055664	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	12689107	3811215	12689107	634455350	2223659	626529936	1.249168125069794	0.0326	0.9646	0.0027		
SRX4105500	558846.0	88.0	730286.0	2878187.0	0.0	0.0	0.0	0.0	128985.0	28677256.0	24380864.0	SRX4105500_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28677256.0	0.0	20-50	54.0	3.4620425916834527	49.37341274911379	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	28711730	9233342	28711730	1435586500	5054375	1416077546	1.3589535705441644	0.017	0.9814	0.0016		
SRX4105501	948087.0	50193.0	2791705.0	947186.0	0.0	0.0	0.0	0.0	299395.0	12940664.0	7904098.0	SRX4105501_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12940664.0	0.0	20-50	54.0	6.583919543141496	49.39346844953242	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	12954330	3971675	12954330	647716500	2226257	639268358	1.304296246891966	0.0324	0.9649	0.0027		
SRX4105502	1019500.0	289.0	4935948.0	1488619.0	0.0	0.0	0.0	0.0	392091.0	20576806.0	12740359.0	SRX4105502_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20576806.0	0.0	20-50	54.0	3.5125025837718287	49.361889692695755	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	20595775	6397589	20595775	1029788750	3463960	1015841143	1.3544143883879096	0.0315	0.9677	0.0008		
SRX4105503	3312668.0	101603.0	4412265.0	1303624.0	0.0	0.0	0.0	0.0	903710.0	20933895.0	10900025.0	SRX4105503_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20933895.0	0.0	20-50	54.0	8.391713161363358	49.34140526643514	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	20960679	6571690	20960679	1048033950	3457090	1033021160	1.4324717247947931	0.0368	0.961	0.0022		
SRX4105504	1341009.0	67433.0	3617326.0	1339750.0	0.0	0.0	0.0	0.0	335347.0	18201496.0	11500631.0	SRX4105504_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18201496.0	0.0	20-50	54.0	6.3529691806557675	49.39291643939597	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	18237617	5614174	18237617	911880850	3609581	899148459	1.3962779238098924	0.0326	0.9646	0.0028		
SRX4105505	904796.0	56890.0	3389288.0	1016786.0	0.0	0.0	0.0	0.0	282765.0	14407729.0	8757204.0	SRX4105505_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14407729.0	0.0	20-50	54.0	6.0742711448191935	49.37596181882655	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	14423625	4390152	14423625	721181250	2528681	711489916	1.3438139164045102	0.0305	0.9662	0.0033		
SRX4105506	19826.0	0.0	34608.0	435073.0	0.0	0.0	0.0	0.0	4956.0	4480833.0	3986370.0	SRX4105506_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4480833.0	0.0	20-50	54.0	2.7402636455081297	49.506770058156604	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	4950647	1900499	4950647	247532350	525110	221888156	10.359936388112505	0.0318	0.9609	0.0073		
SRX4105507	17101.0	0.0	29886.0	379986.0	0.0	0.0	0.0	0.0	4281.0	3904744.0	3473490.0	SRX4105507_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3904744.0	0.0	20-50	54.0	3.1907021225626337	49.5008179793605	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	4384745	1719924	4384745	219237250	439658	193335193	11.814624111550385	0.0214	0.9705	0.008		
SRX4105508	217586.0	40.0	284330.0	1120596.0	0.0	0.0	0.0	0.0	50222.0	11263183.0	9590409.0	SRX4105508_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11263183.0	0.0	20-50	54.0	4.975557500979104	49.36568002135808	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	11279273	3637260	11279273	563963650	2015775	556089451	1.3962245616361977	0.0216	0.9751	0.0032		
