Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
HKK26_RS00055,0.0048747780884207895,0.02558708800633677,0.0038262693449316147,0.008613711370787633,0.007253439935782515,0.03531182549753027,0.025775981508464104,0.0001919773893193372,-0.005167592368370843,-0.01396013328772203,-0.0126773814457765,0.005499949982172265,0.016437436401238542,0.03524296900667103,-0.062086860447501994,-0.019949575107190896,0.014968250289265204,-0.0010440693576323958,0.012449080884220682,0.007953323194253277,0.0017253800556572818,-0.008360494726429007,-0.00932589702266509,0.04945393825093624,-0.012690917641357703,-0.003968311527245464,-0.008929668359586364,-0.03774556808333794,0.007978785968171616,-0.007622986833374043,-0.021038278628473316
HKK26_RS00060,-0.007726080418012284,-0.025200580243669383,0.0041776944057812584,0.010018312845725949,-0.01548750571593748,0.006971668616608715,0.017128648456355856,0.005482052509423511,0.012595459807140948,-0.018637745178043695,-0.003932487405585912,-0.005472103123896994,0.00020290105685142614,-0.0020173669775690613,-0.03357782492320021,0.013711553310183781,-0.022123263567169288,-0.028295782827711138,-0.014013492549649781,0.018830756519829253,-0.011551731407320843,0.01719292716555989,-0.0012377201429564079,0.0026368161001503977,0.013272326041130175,0.03226375879973779,-0.01120227686665344,-0.02101137013741825,-0.008233710723854593,0.0130030870999376,0.010574295901137367
HKK26_RS00065,0.005317192557456305,-0.005954021676965329,-0.028056397748040935,-0.0025981910344731757,0.007692075890087914,0.050012332736529795,-0.0043412047943116585,0.004197509622495335,-0.01015228542952152,-0.02525857437064624,0.029044388007056884,0.0008556208559593917,-0.005495470323449692,-0.005301130470757213,0.0037888490245582833,0.2844715944256393,-0.022174304999216413,-0.03585554590712983,0.02870907009147035,-0.01188914735380597,-0.00416042055519305,0.0024702886559186538,-0.005008332896403157,0.009207409148767274,-0.009373984913332379,0.010672993383035324,-0.024450405926891444,0.01137782627301426,0.005651315731003838,0.0148108198626087,-0.025308189510502337
HKK26_RS00070,-0.013120015870956897,-0.0099310256766701,0.004191203845815536,-0.0024624777347418796,0.002538862301392341,0.03674056036014161,0.009371478055902578,0.0031140029703798865,-0.018843083083047718,-0.007185414604419622,0.01724670503330582,0.016020928636703933,0.0002421704557893401,0.053801329700036635,0.01988077483522302,0.19441396558348845,-0.0008523761185001044,-0.020576923015561275,0.008836834643212547,0.0031004017221344005,-0.007648330442142149,-0.004515027085025413,0.005187409517028816,-0.0016002741738630846,-0.01396834636250005,0.0037796844943989746,-0.0034837757595189258,0.012914154989857027,-0.0008892387743908706,-0.01843474554563003,-0.0020889962375141608
HKK26_RS00075,0.0013973172354858569,-0.006190332774710824,-0.014078916367393068,0.0057720852144546335,-0.008389857541500864,0.017144053910601947,0.011868787121092836,0.004467376206933094,0.007658373402311355,-0.023515294914599062,0.021400005718518956,0.007071275654754849,-0.007067309777961456,-0.004169472789506901,-0.015657623849321078,0.20012588412162863,0.009980765906550537,-0.018369556783556753,-0.0013820767191481422,-0.006765041913236858,-0.001160842998828666,-0.005134216330885625,0.0021670163596939226,0.005805400834296208,-0.020145981322190944,0.003113007524930102,-0.006179166403607443,-0.004573605339060415,0.0005337766966697086,0.0030268188816952586,-0.0006506531326275708
HKK26_RS00080,0.014850679263055704,0.014661710061177486,0.0020033968850329815,0.02700587040744962,0.002719730437890074,0.015451929953822972,-0.011425911471022279,0.01888525390808374,0.002692767421436591,0.0019605227991231168,-0.0012540634040323895,-0.026631166042443595,0.0354374629925088,0.01821547747425038,0.018454578434705105,0.060213584755628484,-0.006712931164962786,-0.021404224484437243,-0.011298510196722818,-0.0002602240729173476,-0.007073401768352846,-0.0013026828066885936,-0.0029670514674137918,0.01660309220072166,-0.013452623790484886,-0.00879302640167669,0.002665476090916608,-0.00550789692414051,-0.05697208134746587,0.0007344245564995046,-0.015850690443618715
HKK26_RS00085,0.02977363379926437,-0.006005188735696424,0.022443626401022185,0.030865501427369036,0.030318911229543298,0.029334142058898442,-0.0041469855535174235,-0.004404865534483036,-0.026976415370259153,0.031266886577431395,-0.009542552053516302,-0.04769131777248991,0.05483439379610571,-0.017224261186458194,0.0029618664446647634,0.026550496237261207,-0.01420855649360655,0.06216331776656046,0.01587554288133582,0.009509812065114191,0.004683803952123976,-0.019482426249901125,0.0006532576667264775,-0.02895563016576373,-0.005261264571521812,-0.05071578682980622,-0.040802564693493915,0.0070601723493434,-0.028691363452398644,0.084871743906602,-0.007999698847857832
HKK26_RS00090,-0.005176856753523054,-0.0051107076905515005,0.0038171321645766045,0.015685571804702543,-0.004685900965309865,0.020702126897029553,0.018996864224105195,-0.019445034151367998,-0.030419046186987583,0.008767373026750099,0.025319233759490238,0.006471740319068343,0.013656825351985587,0.011887197800790637,-0.013112185876864739,0.00983811159693886,0.02588401363330957,-0.0072101781378160045,0.0011377461726310733,0.004246880815166978,-0.026482668325506085,0.0010510305624723305,-0.009073530896545424,0.01068324349041102,0.0019281904822184214,-0.027379193646856,0.016338194003901806,-0.007997884679052242,-0.014885201152228023,-0.011856082209447038,-0.016447220619707277
HKK26_RS00095,0.0016058559669620115,3.0115783173061775e-05,0.003969169818110722,0.011696618543227245,0.007430079268945696,-0.0018955437224268885,0.013064265114463616,0.024067782884402377,-0.01174996436971084,-0.01843114650088049,0.019290711659152554,0.009618873660661909,-0.0040662235686755605,-0.01486121478765228,0.01531464832840287,0.02207973570931469,0.001035475662386143,-0.006579472020890928,0.020812170460730955,0.011261681625344135,-0.020130931646814024,-0.002469449438009116,-0.005291376389477219,0.010567506150027989,-0.0006066076701694669,0.00572520787792926,0.036200155320018995,0.0006422688476639694,-0.02393997179324241,0.002417461503361582,-0.015009497109526364
HKK26_RS00100,0.02024611446393318,0.0004617381246129647,0.009206493241587562,0.0030551327427245146,0.0019023590154378235,0.008656743951586648,0.01648503720982228,0.01716010052036754,0.0039428252070995064,-0.011098783484798978,0.017186936165252333,0.003922153606821599,-0.01095186635994393,-0.0015341371813839594,0.008709138958931559,-0.004861680240771417,0.01937279853964758,-0.004063130471913229,-0.006981424484178759,0.013302952758049403,-0.00741963740633268,0.010955782337469588,-0.015318033154991058,0.0037518128517324456,0.0031938875882933297,0.012100516015608489,0.04238777097367012,0.01745871648869102,-0.0028262234694943823,-0.00754480922246554,-0.015523194206033082
