	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX2769874	39449234.0	7914034.0	27582014.0	377302.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2963030.0	605104.0	7750.0	20.06131221711428	39449234.0	39071932.0	99.04	377302.0	0.96	SRX2769874_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39449234.0	0.0	20-36	55.0	8.16874089881843	35.468211372621326	pass	pass		pass	fail	pass	warn	warn	fail	warn	pass	39739524	10249615	39739524	1430622864	14802183	1401808159	2.014137039543358	0.0533	0.7769	0.1698		
SRX2769875	1686438.0	3022.0	1149.0	1622884.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59345.0	28.0	10.0	0.17919425439891656	1686438.0	63554.0	3.77	1622884.0	96.23	SRX2769875_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1686438.0	0.0	20-51	49.0	27.54336295156317	47.776290619637365	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	1829791	885987	1829791	93319341	256142	82307262	11.800425165882814	0.2188	0.1875	0.5938		
SRX2769876	35502582.0	6524205.0	24676618.0	374727.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3245894.0	672718.0	8420.0	18.376705671717065	35502582.0	35127855.0	98.94	374727.0	1.06	SRX2769876_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35502582.0	0.0	20-36	54.0	28.276762876167933	35.26665283105324	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	35899476	9595038	35899476	1292381136	22820596	1255952941	2.8186882325400955	0.2781	0.2714	0.4505		
SRX2769877	1418588.0	387898.0	403490.0	78186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447235.0	101677.0	102.0	27.343950463418555	1418588.0	1340402.0	94.49	78186.0	5.51	SRX2769877_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1418588.0	0.0	20-36	50.0	16.767090090348145	31.40213508079865	pass	pass		warn	fail	warn	pass	warn	fail	fail	pass	4904972	854203	4904972	176578992	110335234	65036566	63.168571038167435	0.2722	0.4265	0.3013		
SRX2769878	8870811.0	1971826.0	3254089.0	489497.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2353864.0	800924.0	611.0	22.228249480233547	8870811.0	8381314.0	94.48	489497.0	5.52	SRX2769878_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8870811.0	0.0	20-36	50.0	8.685888695863209	34.47483696811938	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	10425686	2749331	10425686	375324696	56013553	315459061	15.950358619620385	0.2511	0.4139	0.3349		
SRX2769879	40473435.0	8558642.0	29358999.0	356323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1564363.0	621290.0	13818.0	21.146319802112178	40473435.0	40117112.0	99.12	356323.0	0.88	SRX2769879_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40473435.0	0.0	20-36	55.0	32.997630823504764	35.463791299157094	pass	pass		pass	fail	pass	warn	warn	fail	warn	pass	40726128	10534536	40726128	1466140608	13403978	1438151195	1.909053800657024	0.2574	0.3515	0.3911		
SRX2769880	12528146.0	1882011.0	5658032.0	4498205.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	396454.0	90824.0	2620.0	15.022262671587637	12528146.0	8029941.0	64.1	4498205.0	35.9	SRX2769880_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12528146.0	0.0	20-36	54.0	70.16706360175085	32.06955187144211	pass	pass		pass	fail	pass	pass	warn	pass	warn	pass	13593710	3915932	13593710	489373560	65745608	416578516	14.875148547052687	0.2878	0.3082	0.40399999999999997		
SRX2769881	29070731.0	5078999.0	15416027.0	7244336.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1060088.0	264248.0	7033.0	17.47117745336366	29070731.0	21826395.0	75.08	7244336.0	24.92	SRX2769881_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29070731.0	0.0	20-36	54.0	10.525814613784387	35.38646021663507	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	29406459	9142174	29406459	1058632524	7518667	1033942531	2.332253396741474	0.3065	0.2867	0.4068		
SRX2769882	1850703.0	1170.0	1018.0	1823878.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24622.0	15.0	0.0	0.06321921993966617	1850703.0	26825.0	1.45	1823878.0	98.55	SRX2769882_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1850703.0	0.0	20-51	47.0	25.920506355131653	48.61847200766412	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	1917001	912931	1917001	97767051	248683	90776643	7.150065311880994	0.4375	0.125	0.4375		
SRX2769883	40969211.0	5521320.0	31430391.0	690683.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2678725.0	640501.0	7591.0	13.476754531592029	40969211.0	40278528.0	98.31	690683.0	1.69	SRX2769883_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40969211.0	0.0	20-36	55.0	5.211130276421555	35.46777122459107	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	41204044	10722123	41204044	1483345584	13114481	1455287997	1.891507097377788	0.2763	0.2902	0.4335		
