	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX3176808	12686501.0	9070623.0	193785.0	699595.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2034524.0	669527.0	18447.0	71.49822476662398	12686501.0	11986906.0	94.49	699595.0	5.51	SRX3176808_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12686501.0	0.0	20-50	55.0	9.51695429778968	49.22669796817893	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	12815102	3856014	12815102	640755100	4475887	624605334	2.520427227188672	0.2213	0.2637	0.515		
SRX3176809	11361991.0	8048450.0	161366.0	668648.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1872505.0	595357.0	15665.0	70.8366165753872	11361991.0	10693343.0	94.12	668648.0	5.88	SRX3176809_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11361991.0	0.0	20-50	54.0	10.34862779087151	49.25017560742655	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	11416675	3410085	11416675	570833750	3771243	559663949	1.9567520315678604	0.1829	0.1794	0.6377		
SRX3176810	21703928.0	13496752.0	797195.0	1759167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4631132.0	991980.0	27702.0	62.18575734309478	21703928.0	19944761.0	91.89	1759167.0	8.11	SRX3176810_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21703928.0	0.0	20-50	53.0	6.750226170365642	49.279264288012754	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	21721649	6186077	21721649	1086082450	6823279	1069683337	1.509932602262379	0.1864	0.1274	0.6863		
SRX3176811	13605240.0	653718.0	3167.0	792781.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12105419.0	49169.0	986.0	4.804898700794693	13605240.0	12812459.0	94.17	792781.0	5.83	SRX3176811_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13605240.0	0.0	20-50	54.0	8.419856036444713	49.18747835392835	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	14015397	4470960	14015397	700769850	4441783	669316432	4.488409140319036	0.2311	0.1119	0.657		
SRX3176812	22896262.0	1249307.0	4223.0	1586615.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19962929.0	91610.0	1578.0	5.456379735696594	22896262.0	21309647.0	93.07	1586615.0	6.93	SRX3176812_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22896262.0	0.0	20-50	53.0	6.663758461286523	49.26199180460112	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	23072779	6815514	23072779	1153638950	7297931	1128085325	2.2150452704461823	0.2716	0.1062	0.6222		
SRX3176813	12565286.0	816800.0	2905.0	643704.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11043748.0	57082.0	1047.0	6.500448935264983	12565286.0	11921582.0	94.88	643704.0	5.12	SRX3176813_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12565286.0	0.0	20-50	53.0	7.519101376977254	49.25088652976144	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	12664906	3757764	12664906	633245300	3961393	618953307	2.2569441889264708	0.3053	0.1174	0.5773		
SRX3176814	12416529.0	733860.0	2676.0	656020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10970541.0	52721.0	711.0	5.9103474086840215	12416529.0	11760509.0	94.72	656020.0	5.28	SRX3176814_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12416529.0	0.0	20-50	52.0	5.027687117130251	49.298593995149524	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	12438694	3630979	12438694	621934700	3399604	612212279	1.5632543094958362	0.3082	0.1456	0.5462		
SRX3176815	13725564.0	474101.0	4014.0	1381664.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11827849.0	37626.0	310.0	3.454145855135716	13725564.0	12343900.0	89.93	1381664.0	10.07	SRX3176815_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13725564.0	0.0	20-50	49.0	3.9883502290472346	49.3357609931366	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	13774421	4097732	13774421	688721050	2774086	677221850	1.6696454972590136	0.2802	0.127	0.5928		
SRX3211301	7889271.0	6040866.0	88503.0	158048.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1184469.0	413516.0	3869.0	76.57064892307541	7889271.0	7731223.0	98.0	158048.0	2.0	SRX3211301_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7889271.0	0.0	20-50	56.0	18.389992300556944	49.562848962850936	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	7891202	2364223	7891202	394560100	153092	391024605	0.8960599411851325	0.0872	0.6404	0.2724		
SRX3211302	8378625.0	6336552.0	100921.0	173714.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1336336.0	427283.0	3819.0	75.62758805889987	8378625.0	8204911.0	97.93	173714.0	2.07	SRX3211302_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8378625.0	0.0	20-50	55.0	4.743028491792266	49.494067224634115	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	8382685	2634350	8382685	419134250	187452	414699882	1.0579827346488624	0.067	0.6468	0.2862		
SRX3211303	7989637.0	5933693.0	50227.0	147002.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1409508.0	445944.0	3263.0	74.26736658999651	7989637.0	7842635.0	98.16	147002.0	1.84	SRX3211303_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7989637.0	0.0	20-50	55.0	16.459231928671564	49.54713787372317	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	7991539	2481387	7991539	399576950	149907	395873840	0.9267576620723492	0.1041	0.5702	0.3256		
SRX3211304	8899792.0	6374181.0	275518.0	96069.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1731658.0	417856.0	4510.0	71.62168509106729	8899792.0	8803723.0	98.92	96069.0	1.08	SRX3211304_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8899792.0	0.0	20-50	55.0	4.260008861524335	49.56092097433289	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	8905157	2597794	8905157	445257850	170488	441087930	0.9365180198395155	0.1216	0.5826	0.2958		
SRX3211305	10541745.0	7626269.0	195079.0	229377.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2036876.0	448599.0	5545.0	72.3435161825675	10541745.0	10312368.0	97.82	229377.0	2.18	SRX3211305_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10541745.0	0.0	20-50	56.0	10.623286448473547	49.581671345683276	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	10596450	3064511	10596450	529822500	249098	522696597	1.3449604348626192	0.2255	0.4577	0.3168		
SRX3211306	7701446.0	5689737.0	100896.0	70041.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1399078.0	438457.0	3237.0	73.87881444601443	7701446.0	7631405.0	99.09	70041.0	0.91	SRX3211306_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7701446.0	0.0	20-50	55.0	4.769776971424023	49.51676100825741	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	7706914	2381952	7706914	385345700	154729	381355584	1.0354640002470508	0.0825	0.6638	0.2537		
SRX3211307	10507491.0	7951695.0	63814.0	120771.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1818326.0	548528.0	4357.0	75.67643883777774	10507491.0	10386720.0	98.85	120771.0	1.15	SRX3211307_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10507491.0	0.0	20-50	55.0	14.24551875064812	49.558787820993615	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	10511432	3189717	10511432	525571600	189175	520750224	0.9173585482929444	0.0992	0.6226	0.2782		
SRX3211308	9064096.0	6255780.0	375989.0	111959.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1797328.0	519246.0	3794.0	69.01714191906176	9064096.0	8952137.0	98.76	111959.0	1.24	SRX3211308_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9064096.0	0.0	20-50	54.0	3.670073024127757	49.49245550797344	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	9069077	2850265	9069077	453453850	187891	448609578	1.0683054074852378	0.1066	0.6414	0.252		
SRX3211309	9115850.0	6887854.0	72617.0	123961.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1539284.0	488686.0	3448.0	75.55909761569136	9115850.0	8991889.0	98.64	123961.0	1.36	SRX3211309_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9115850.0	0.0	20-50	55.0	15.763479337092006	49.53675137260925	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	9122823	2826210	9122823	456141150	186530	451592946	0.9971045146880522	0.1089	0.6087	0.2825		
SRX3211310	7478543.0	5216654.0	301869.0	79060.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1491276.0	386589.0	3095.0	69.75495093095006	7478543.0	7399483.0	98.94	79060.0	1.06	SRX3211310_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7478543.0	0.0	20-50	55.0	5.366764287284076	49.47118215406397	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	7489968	2350765	7489968	374498400	202845	369979013	1.2067840610266962	0.1086	0.5873	0.3041		
SRX3211311	9901118.0	7575697.0	46943.0	152087.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1578882.0	543377.0	4132.0	76.51355129794433	9901118.0	9749031.0	98.46	152087.0	1.54	SRX3211311_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9901118.0	0.0	20-50	55.0	14.207103826095882	49.550160295029315	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	9903726	3060238	9903726	495186300	205729	490613347	0.9234813240996368	0.1031	0.6076	0.2893		
SRX3211312	7595203.0	5433607.0	125237.0	76203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1552348.0	404480.0	3328.0	71.53998385559939	7595203.0	7519000.0	99.0	76203.0	1.0	SRX3211312_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7595203.0	0.0	20-50	55.0	4.846595940189253	49.492603160178874	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	7615297	2376387	7615297	380764850	191150	375913782	1.274032516394305	0.0962	0.5949	0.3089		
SRX3211313	9425027.0	6918424.0	86694.0	170229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1770568.0	475194.0	3918.0	73.40481889335702	9425027.0	9254798.0	98.19	170229.0	1.81	SRX3211313_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9425027.0	0.0	20-50	55.0	14.046404919009705	49.55137815520315	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	9427609	2896088	9427609	471380450	191941	467036744	0.9214862432245544	0.1113	0.5698	0.3189		
SRX3211314	9442261.0	6667250.0	181712.0	147579.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1940567.0	500923.0	4230.0	70.61073613618602	9442261.0	9294682.0	98.44	147579.0	1.56	SRX3211314_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9442261.0	0.0	20-50	54.0	4.198231928445892	49.47191536010284	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	9463052	2988382	9463052	473152600	221641	467134577	1.2718989602931483	0.0854	0.6036	0.311		
SRX3211315	11492940.0	8549398.0	109389.0	182505.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2095461.0	550978.0	5209.0	74.38825922696891	11492940.0	11310435.0	98.41	182505.0	1.59	SRX3211315_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11492940.0	0.0	20-50	55.0	12.27597700987288	49.55484088492587	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	11501570	3503457	11501570	575078500	290630	569547816	0.9617267903425356	0.1166	0.5546	0.3288		
SRX3211316	10849204.0	7821067.0	104933.0	143842.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2214102.0	560950.0	4310.0	72.08885555106163	10849204.0	10705362.0	98.67	143842.0	1.33	SRX3211316_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10849204.0	0.0	20-50	54.0	3.6188266394501714	49.4467763717965	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	10916343	3515061	10916343	545817150	243406	536466515	1.7131442278792448	0.0811	0.6551	0.2638		
SRX3211317	12832533.0	9253096.0	273643.0	208747.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2426575.0	665207.0	5265.0	72.10654357950999	12832533.0	12623786.0	98.37	208747.0	1.63	SRX3211317_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12832533.0	0.0	20-50	55.0	13.206541543919144	49.55373362375145	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	12836949	3944245	12836949	641847450	239593	635919349	0.9235996808899062	0.1169	0.5591	0.3239		
SRX3211318	9978101.0	7284902.0	140991.0	98233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1935098.0	514491.0	4386.0	73.00890219491664	9978101.0	9879868.0	99.02	98233.0	0.98	SRX3211318_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9978101.0	0.0	20-50	55.0	4.040706110489582	49.48861862592893	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	10003585	3155439	10003585	500179250	205112	493810069	1.2733796933799233	0.0803	0.6376	0.2821		
SRX3211319	13206338.0	9707503.0	185598.0	172973.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2541884.0	592420.0	5960.0	73.50639518691708	13206338.0	13033365.0	98.69	172973.0	1.31	SRX3211319_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13206338.0	0.0	20-50	56.0	7.30107842503579	49.57029079522272	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	13218632	3942358	13218632	660931600	261751	654657431	0.9492917270107829	0.1384	0.5544	0.3072		
SRX3211320	9128765.0	6424775.0	391266.0	127103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1776151.0	404977.0	4493.0	70.37945439498114	9128765.0	9001662.0	98.61	127103.0	1.39	SRX3211320_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9128765.0	0.0	20-50	55.0	4.135619311292516	49.43676138009906	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	9171499	2837333	9171499	458574950	225984	451305465	1.5852337769431148	0.1778	0.4924	0.3298		
SRX3211321	7472343.0	5611549.0	92153.0	130504.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1308329.0	319930.0	9878.0	75.09758318107184	7472343.0	7341839.0	98.25	130504.0	1.75	SRX3211321_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7472343.0	0.0	20-50	55.0	20.53502406303205	49.56560198053007	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	7474725	2223867	7474725	373736250	102414	370381492	0.8976271367842964	0.2461	0.3873	0.3667		
SRX3211322	10983690.0	8022832.0	635685.0	159718.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1615470.0	545422.0	4563.0	73.04313941853785	10983690.0	10823972.0	98.55	159718.0	1.45	SRX3211322_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10983690.0	0.0	20-50	55.0	3.5740868279309135	49.50525679439242	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10992595	3330917	10992595	549629750	166653	543755108	1.068836248401765	0.0583	0.7049	0.2368		
SRX3211323	5846676.0	4531508.0	34777.0	89488.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	887698.0	300344.0	2861.0	77.50571435803866	5846676.0	5757188.0	98.47	89488.0	1.53	SRX3211323_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5846676.0	0.0	20-50	56.0	20.411803288556204	49.566164261539384	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	5847952	1754869	5847952	292397600	77532	289803546	0.8871666525306637	0.1078	0.6166	0.2756		
SRX3211324	4354764.0	3383429.0	173615.0	51374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	553320.0	191132.0	1894.0	77.69488771377738	4354764.0	4303390.0	98.82	51374.0	1.18	SRX3211324_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4354764.0	0.0	20-50	56.0	7.156989850322204	49.51673202038044	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	4358556	1338331	4358556	217927800	96376	215637754	1.0508278429828597	0.1087	0.6504	0.2409		
SRX3211325	6166001.0	4953628.0	32948.0	63232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	805314.0	307791.0	3088.0	80.33777483980298	6166001.0	6102769.0	98.97	63232.0	1.03	SRX3211325_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6166001.0	0.0	20-50	56.0	20.892849888482345	49.56156169938993	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	6172768	1872139	6172768	308638400	85985	305603247	0.9834009637167638	0.1001	0.6028	0.2971		
SRX3211326	9267008.0	4648615.0	3585183.0	128795.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	665758.0	235846.0	2811.0	50.16306233899875	9267008.0	9138213.0	98.61	128795.0	1.39	SRX3211326_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9267008.0	0.0	20-50	56.0	3.615503645063269	49.46831091545405	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9272494	2721762	9272494	463624700	97831	458424436	1.1216537859177909	0.1115	0.5959	0.2926		
SRX3211327	7529042.0	5984589.0	45587.0	80985.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1019654.0	394495.0	3732.0	79.48672619969447	7529042.0	7448057.0	98.92	80985.0	1.08	SRX3211327_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7529042.0	0.0	20-50	56.0	17.191307740168597	49.55920726700688	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	7530727	2297206	7530727	376536350	117698	373142465	0.9013432567665778	0.0866	0.6406	0.2728		
SRX3211328	8392149.0	3363597.0	4077011.0	83231.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	652196.0	213989.0	2125.0	40.080282178021385	8392149.0	8308918.0	99.01	83231.0	0.99	SRX3211328_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8392149.0	0.0	20-50	55.0	2.727876735552311	49.56928648430813	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	8395617	2345380	8395617	419780850	92764	415995557	0.9017307483178424	0.1335	0.5443	0.3222		
SRX3211329	6181510.0	4822233.0	40538.0	91402.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	905610.0	318576.0	3151.0	78.01059935193828	6181510.0	6090108.0	98.52	91402.0	1.48	SRX3211329_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6181510.0	0.0	20-50	55.0	19.794018378614787	49.55896180706657	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	6183163	1892019	6183163	309158150	89921	306356811	0.906118438087432	0.0724	0.6563	0.2712		
SRX3211330	5314794.0	3955654.0	103546.0	91335.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	892800.0	268939.0	2520.0	74.4272308578658	5314794.0	5223459.0	98.28	91335.0	1.72	SRX3211330_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5314794.0	0.0	20-50	55.0	6.407019833967666	49.52266353126761	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	5321335	1678684	5321335	266066750	55959	263204292	1.075842058430826	0.0502	0.7011	0.2487		
SRX3211331	6043883.0	4636558.0	39866.0	105827.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	951411.0	307170.0	3051.0	76.71488677064066	6043883.0	5938056.0	98.25	105827.0	1.75	SRX3211331_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6043883.0	0.0	20-50	55.0	20.835874071588208	49.5543512341321	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	6046650	1863263	6046650	302332500	90700	299509687	0.93367831774619	0.0573	0.6584	0.2843		
SRX3211332	7629023.0	5626094.0	147655.0	123187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1355166.0	373878.0	3043.0	73.74593050774655	7629023.0	7505836.0	98.39	123187.0	1.61	SRX3211332_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7629023.0	0.0	20-50	55.0	3.8855091354587614	49.51843506042648	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	7658916	2408672	7658916	382945800	96851	377780872	1.3487360352300508	0.0436	0.7021	0.2543		
SRX3211333	6405583.0	4789734.0	48956.0	112938.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1138754.0	312141.0	3060.0	74.77436480020631	6405583.0	6292645.0	98.24	112938.0	1.76	SRX3211333_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6405583.0	0.0	20-50	55.0	20.16958845849361	49.55268287055214	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	6408183	1971829	6408183	320409150	125454	317423476	0.9318316908240604	0.0673	0.6332	0.2995		
SRX3211334	8135311.0	4885484.0	189327.0	180750.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2488663.0	387729.0	3358.0	60.052824040777296	8135311.0	7954561.0	97.78	180750.0	2.22	SRX3211334_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8135311.0	0.0	20-50	53.0	3.637862616353088	49.455921353221775	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	8144866	2654652	8144866	407243300	92038	402342087	1.2035097937768406	0.0644	0.6068	0.3288		
SRX3211335	7031448.0	4102463.0	50459.0	122169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2433544.0	320214.0	2599.0	58.34449746339588	7031448.0	6909279.0	98.26	122169.0	1.74	SRX3211335_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7031448.0	0.0	20-50	53.0	16.379533337331235	49.53323440634134	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	7034113	2278894	7034113	351705650	91776	348301304	0.967953173342538	0.1041	0.5007	0.3952		
SRX3211336	6661889.0	4693199.0	154242.0	131531.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1332749.0	347137.0	3031.0	70.44847189738526	6661889.0	6530358.0	98.03	131531.0	1.97	SRX3211336_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6661889.0	0.0	20-50	54.0	5.680536467011852	49.48053277381235	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	6676557	2101843	6676557	333827850	133624	329638583	1.2549183658583307	0.0863	0.6294	0.2844		
SRX3211337	7188130.0	5209432.0	59361.0	149844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1368055.0	398247.0	3191.0	72.47270152320561	7188130.0	7038286.0	97.92	149844.0	2.08	SRX3211337_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7188130.0	0.0	20-50	55.0	18.6440518244321	49.55384098506843	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	7191101	2204497	7191101	359555050	130597	356209682	0.9304188607558148	0.1074	0.5802	0.3124		
SRX3211338	9709258.0	6911604.0	372445.0	214501.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1728906.0	476337.0	5465.0	71.18570749690657	9709258.0	9494757.0	97.79	214501.0	2.21	SRX3211338_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9709258.0	0.0	20-50	55.0	4.539829977412023	49.543384468720475	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	9717654	2909773	9717654	485882700	186096	481034685	0.997774771565236	0.0793	0.6444	0.2763		
SRX3211339	8585396.0	6485073.0	52271.0	180785.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1412990.0	449570.0	4707.0	75.53609641302509	8585396.0	8404611.0	97.89	180785.0	2.11	SRX3211339_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8585396.0	0.0	20-50	56.0	18.493199186805914	49.55991022429251	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	8587546	2585754	8587546	429377300	160876	425503044	0.902296418557758	0.1019	0.5917	0.3064		
SRX3211340	8505634.0	6582677.0	114417.0	183216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1228445.0	392862.0	4017.0	77.39196161038672	8505634.0	8322418.0	97.85	183216.0	2.15	SRX3211340_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8505634.0	0.0	20-50	56.0	5.390555519579997	49.50684158288495	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	8513652	2573953	8513652	425682600	274711	421099037	1.076756014927554	0.0692	0.6671	0.2638		
SRX3211341	9584698.0	7367479.0	50471.0	196813.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1475559.0	489130.0	5246.0	76.8670958646793	9584698.0	9387885.0	97.95	196813.0	2.05	SRX3211341_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9584698.0	0.0	20-50	56.0	17.347333223425473	49.56159401162144	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	9587190	2870518	9587190	479359500	176873	475044448	0.9001703314526992	0.1018	0.6038	0.2945		
SRX3211342	8231026.0	6228956.0	196037.0	175509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1225634.0	401122.0	3768.0	75.67654384763212	8231026.0	8055517.0	97.87	175509.0	2.13	SRX3211342_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8231026.0	0.0	20-50	56.0	5.68326823444626	49.52166084762702	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	8242414	2497566	8242414	412120700	202795	407622935	1.0913708047181323	0.064	0.6869	0.2491		
