,0
SYNPCC7942_RS00220,Synpcc7942_0044
SYNPCC7942_RS00225,Synpcc7942_0045
SYNPCC7942_RS00230,Synpcc7942_0046
SYNPCC7942_RS00235,Synpcc7942_0047
SYNPCC7942_RS00240,
SYNPCC7942_RS00245,
SYNPCC7942_RS00250,Synpcc7942_0050
SYNPCC7942_RS00255,Synpcc7942_0051
SYNPCC7942_RS00260,Synpcc7942_0052
SYNPCC7942_RS00265,Synpcc7942_0053
SYNPCC7942_RS00270,Synpcc7942_0054
SYNPCC7942_RS00275,Synpcc7942_0055
SYNPCC7942_RS00280,Synpcc7942_0056
SYNPCC7942_RS00285,Synpcc7942_0057
SYNPCC7942_RS00290,Synpcc7942_0058
SYNPCC7942_RS00295,Synpcc7942_0059
SYNPCC7942_RS00300,Synpcc7942_0060
SYNPCC7942_RS00305,Synpcc7942_0061
SYNPCC7942_RS00310,Synpcc7942_0062
SYNPCC7942_RS00315,Synpcc7942_0063
SYNPCC7942_RS13650,
SYNPCC7942_RS00320,Synpcc7942_0065
SYNPCC7942_RS00325,Synpcc7942_0066
SYNPCC7942_RS00330,Synpcc7942_0067
SYNPCC7942_RS00335,Synpcc7942_0068
SYNPCC7942_RS00340,Synpcc7942_0069
SYNPCC7942_RS00345,Synpcc7942_0070
SYNPCC7942_RS00350,Synpcc7942_0071
SYNPCC7942_RS00355,Synpcc7942_0072
SYNPCC7942_RS00360,Synpcc7942_0073
SYNPCC7942_RS00365,Synpcc7942_0074
SYNPCC7942_RS00370,Synpcc7942_0075
SYNPCC7942_RS00375,Synpcc7942_0076
SYNPCC7942_RS00380,Synpcc7942_0077
SYNPCC7942_RS00385,Synpcc7942_0078
SYNPCC7942_RS00390,Synpcc7942_0079
SYNPCC7942_RS00395,Synpcc7942_0080
SYNPCC7942_RS00400,Synpcc7942_0081
SYNPCC7942_RS00405,Synpcc7942_0082
SYNPCC7942_RS00410,Synpcc7942_0083
SYNPCC7942_RS00415,Synpcc7942_0084
SYNPCC7942_RS00420,Synpcc7942_0085
SYNPCC7942_RS00425,Synpcc7942_0086
SYNPCC7942_RS00430,Synpcc7942_0087
SYNPCC7942_RS00435,Synpcc7942_0088
SYNPCC7942_RS00440,
SYNPCC7942_RS00450,Synpcc7942_0089
SYNPCC7942_RS00455,Synpcc7942_0090
SYNPCC7942_RS00460,Synpcc7942_0091
SYNPCC7942_RS00465,Synpcc7942_0092
SYNPCC7942_RS00470,Synpcc7942_0093
SYNPCC7942_RS00475,Synpcc7942_0094
SYNPCC7942_RS00480,Synpcc7942_0095
SYNPCC7942_RS00490,Synpcc7942_0096
SYNPCC7942_RS00495,Synpcc7942_0097
SYNPCC7942_RS00500,Synpcc7942_0098
SYNPCC7942_RS00505,Synpcc7942_0099
SYNPCC7942_RS00510,Synpcc7942_0100
SYNPCC7942_RS00515,Synpcc7942_0101
SYNPCC7942_RS00520,Synpcc7942_0102
SYNPCC7942_RS00525,Synpcc7942_0103
SYNPCC7942_RS00530,Synpcc7942_0104
SYNPCC7942_RS00535,Synpcc7942_0105
SYNPCC7942_RS00540,Synpcc7942_0106
SYNPCC7942_RS00545,Synpcc7942_0107
SYNPCC7942_RS00550,Synpcc7942_0108
SYNPCC7942_RS00555,Synpcc7942_0109
SYNPCC7942_RS00560,Synpcc7942_0110
SYNPCC7942_RS00565,Synpcc7942_0111
SYNPCC7942_RS00570,Synpcc7942_0112
SYNPCC7942_RS00575,Synpcc7942_0113
SYNPCC7942_RS00580,Synpcc7942_0114
SYNPCC7942_RS13655,Synpcc7942_0115
SYNPCC7942_RS00585,Synpcc7942_0116
SYNPCC7942_RS13660,Synpcc7942_0117
SYNPCC7942_RS00590,Synpcc7942_0118
SYNPCC7942_RS00595,
SYNPCC7942_RS00600,Synpcc7942_0119
SYNPCC7942_RS00605,Synpcc7942_0120
SYNPCC7942_RS00610,Synpcc7942_0121
SYNPCC7942_RS00620,Synpcc7942_0122
SYNPCC7942_RS00630,Synpcc7942_0124
SYNPCC7942_RS00635,Synpcc7942_0125
SYNPCC7942_RS00640,Synpcc7942_0126
SYNPCC7942_RS00645,Synpcc7942_0127
SYNPCC7942_RS00650,Synpcc7942_0128
SYNPCC7942_RS00655,Synpcc7942_0129
SYNPCC7942_RS00660,Synpcc7942_0130
SYNPCC7942_RS00665,Synpcc7942_0131
SYNPCC7942_RS00670,Synpcc7942_0132
SYNPCC7942_RS00675,Synpcc7942_0133
SYNPCC7942_RS00680,Synpcc7942_0134
SYNPCC7942_RS00685,Synpcc7942_0135
SYNPCC7942_RS00690,Synpcc7942_0136
SYNPCC7942_RS00695,Synpcc7942_0137
SYNPCC7942_RS00700,Synpcc7942_0138
SYNPCC7942_RS00705,Synpcc7942_0139
SYNPCC7942_RS00710,Synpcc7942_0140
SYNPCC7942_RS00715,Synpcc7942_0141
SYNPCC7942_RS00720,Synpcc7942_0142
SYNPCC7942_RS00725,Synpcc7942_0143
SYNPCC7942_RS00730,Synpcc7942_0144
SYNPCC7942_RS00735,Synpcc7942_0145
SYNPCC7942_RS00740,Synpcc7942_0146
SYNPCC7942_RS00745,Synpcc7942_0147
SYNPCC7942_RS00750,Synpcc7942_0148
SYNPCC7942_RS00755,Synpcc7942_0149
SYNPCC7942_RS00760,Synpcc7942_0150
SYNPCC7942_RS00765,Synpcc7942_0151
SYNPCC7942_RS00770,Synpcc7942_0152
SYNPCC7942_RS00775,Synpcc7942_0153
SYNPCC7942_RS00780,Synpcc7942_0154
SYNPCC7942_RS00785,Synpcc7942_0155
SYNPCC7942_RS00790,Synpcc7942_0156
SYNPCC7942_RS00795,Synpcc7942_0157
SYNPCC7942_RS00800,Synpcc7942_0158
SYNPCC7942_RS00805,Synpcc7942_0159
SYNPCC7942_RS00810,Synpcc7942_0160
SYNPCC7942_RS00815,Synpcc7942_0161
SYNPCC7942_RS00820,Synpcc7942_0162
SYNPCC7942_RS00825,Synpcc7942_0163
SYNPCC7942_RS00830,Synpcc7942_0164
SYNPCC7942_RS00835,Synpcc7942_0165
SYNPCC7942_RS00840,Synpcc7942_0166
SYNPCC7942_RS00850,Synpcc7942_0167
SYNPCC7942_RS00855,Synpcc7942_0168
SYNPCC7942_RS00860,Synpcc7942_0169
SYNPCC7942_RS00865,
