Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
HKK26_RS00105,0.01418501717944691,0.01693610124873401,0.0032116864972145825,0.012228560177649915,0.0061073707773515685,0.00615332213298021,0.00010255210891985125,-0.0003953985646467158,-0.003604591965378008,0.007884845051177801,-0.004606253793632568,-0.001884551007111037,0.041965831885002476,0.020788081781950844,-0.015261793923495364,0.012290274151207203,-0.005972313900627897,-0.0009793921400439744,0.0019707870675272346,-0.00634080525665989,0.005513357558483273,0.005638265246844738,-0.004322080402381294,0.008702007123102434,0.012419492016626722,0.020061157354276913,0.015501628718344854,-0.013656189847373379,0.012898131937384323
HKK26_RS00110,-0.006413783305390997,0.02016514788608228,-0.012213178313795208,-0.0007951013215737265,0.013866404089277685,-0.018067004625503282,-0.0011120910423401964,-0.013421417392549586,-0.003512547518710525,0.005703070417262663,0.008390077907285022,0.027270415032140415,0.00876069979358757,0.0024329291870557536,-0.03517524884605227,0.00902137328436372,0.00224211922035139,0.011795278874492963,-0.010176572281240089,0.007590628008335601,-0.009880977208099054,0.0027168963456915547,-0.01388387100578711,-0.0022483193022116345,-0.017176026313983548,0.04540902089936474,-0.010023256511734486,-0.01322828109588995,0.025203904462575907
HKK26_RS00115,-0.004734387042058353,0.011098702081249596,0.015453620888371027,0.0007449868623153749,0.022040097108902118,-0.004474328425373444,0.014496131856170385,-0.01637771908111302,-0.025486866885678493,-0.010548871076250212,0.010597319487732255,0.015517010807757232,0.016993076374980362,-0.01998580061246013,-0.011950167295825263,-0.05613532459037707,-0.006116615225206502,0.015047176575977799,-0.02738865810132249,0.01770303679414759,0.0006847974809930098,-0.006786912121564174,-0.01916628200346236,0.011965533684504542,0.005685243373721742,0.014500007612045299,0.0032761231158366273,0.03480297316298249,0.006225920405719812
HKK26_RS00120,0.00618083162358837,0.02284839986571876,0.007492240935197059,-0.01225729292052008,0.001314264266423142,-0.01303837909764313,-0.006668887506628521,-0.021203957252721953,-0.0035443093795082966,-0.0013378639335115674,0.016105068282116854,-0.006464881151811864,0.006610723310275393,0.005011721166262484,-0.00755908732700503,-1.3577449659566501e-05,-0.018623550749309513,0.011652994523484578,0.0710595079270983,0.007268827745142219,-0.00031560292441947093,0.010895816253483431,-0.006643623836326619,0.001992391628328266,-0.012835169569775314,0.017727401070051167,-0.010367878474216018,0.007870825544457057,0.011233772147413917
HKK26_RS00125,-0.012699131281107423,-0.00472200347406817,-0.008811665079651804,-0.00829050294787469,-0.0005859460024756263,-0.01989681597403778,0.010997221824932076,-0.007888172208454404,-0.002771683066441502,0.045667715992240246,-0.005674511859594927,0.009986409612431682,0.017162962426615098,0.012279769789610625,-0.0002962071641185429,-0.0031943461483181124,2.2673885233995903e-05,0.011140647015996541,0.05990539173794165,0.024097273864931514,0.004798247079705497,-0.006865858055796696,-0.0044322095647704885,-0.008438827609019076,-0.01939675651632146,0.043660456991011655,0.010114958296292062,0.019199558380945645,0.014303573985478749
HKK26_RS00130,0.02040973161121294,0.0003508146346724859,-0.0055710502866092425,0.015593918250586276,-0.013608469827594448,0.0004444577235736824,-0.021883029138023022,-0.005604906169953996,0.016865617097920612,-0.002074790451028903,0.0017323684368643385,0.012653023400013721,0.0649887804082415,0.01279426256129272,-0.03190526335783202,0.009197522119723819,0.01763223461028758,0.0002189858339824878,-0.008854774355366819,-0.033647841866814514,-0.016229850947904547,-0.004938941721278447,0.026081734485122982,0.03794795498320016,-0.02485298481551272,-0.0021549220170693248,-0.00980731979402371,0.010528586485927116,0.02124815512913891
HKK26_RS00135,-0.013838272323156738,0.0211887913762635,0.016555293189045153,-0.0161042436033056,0.010552537499468098,-0.010674727987907213,-0.018927963032120784,-0.012388406956092867,-0.00992120788660194,-0.012001318627597792,0.023270207644424577,0.007289689788508901,-0.0019568739863421183,0.006494224280368523,-0.0002945427155861033,0.015340762704069071,-0.008165942681286299,-0.003047718699601673,-0.003558921936352977,0.0223375949784074,0.0257866434327597,-0.01984756033248081,0.002283808132500023,-0.00702314473075055,0.01491001832683006,-0.0056090583338045,0.03631736051374759,-0.018112146904288057,0.016562643566022703
HKK26_RS00140,-0.004756985773667542,0.025520018310448405,0.009355462852152904,-0.01868302314585804,0.011113044103739318,0.019310507935457858,0.015491995890707499,-0.012960116161505972,-0.007650129431923356,-0.018796727361787696,-0.0005590862994288091,0.0053447862990542135,0.011597643787187202,-0.03029303830615358,-0.013741653142499848,-0.010136718551233126,-0.0011857210448707799,0.004587871964475227,-0.026354556385485842,0.01097376559284966,0.006671887595186672,-0.046637856117330845,0.03172865161979423,-0.007090740588190978,0.01946195424056916,0.014146951094718562,0.01768670873887347,0.023937082782012245,-0.004340865529072345
HKK26_RS00145,-0.01492589477548328,0.00043824773385833923,0.004449770702422118,-0.009161824519546426,0.008925254688072133,-0.018064323537465458,0.0010657911324796607,0.016357581693710856,0.005246233041947835,-0.009978653039586775,-0.00011025172254914195,0.0028646194194224487,0.003290882233607259,-0.008719879676022292,-0.0022074252655178437,0.013560939475929356,0.001867273635892785,0.019155267949148635,-0.009155810587487977,0.005633006456131469,-0.006514177035831432,-0.04729395916795648,-0.0052881716219123735,-0.0024075477696345543,0.04576766006699727,0.01780868198788893,0.07234571816964937,-0.0039854432735582914,-0.007264242889903167
HKK26_RS00150,0.0013677436288594435,0.021227744409659424,-0.007044116709952883,0.0012938913061525204,-0.038653335596444384,0.020821393649047292,-0.0015098042617796568,-0.006629707486143551,0.0029406835139921517,-0.01624758577608207,-0.019844311703421578,0.016107060579970717,0.005706659390795185,0.0077860295832171125,-0.007527519885899519,0.031171227509674004,0.003772718452747274,-0.0012788201351284251,-0.01332510194493075,0.02528632414270254,0.005343411293581892,-0.05598989752929985,-0.005273981370254855,0.01808247057219061,0.03939287595357923,0.009049847173078546,0.05511278978247701,-0.006615797813021728,-0.023570315893752226
HKK26_RS00155,-0.009324145937057576,0.027660237306661693,-0.0013779647150489625,0.012162773553001103,-0.020986764019555428,0.013185401084941747,-0.00674193061872674,-0.019009081959208137,0.02774195732557465,-0.00632747512895859,-0.026911968990618873,-0.013621685922744445,0.015423975966466365,0.00545981726499793,-0.006215700354638792,-0.031021942090658977,0.0009544019959779081,0.005090738472284001,0.0058507398433295605,0.012738439467885863,-0.019561142163412783,0.014019303394835857,0.08800158996110008,0.04024916728212712,0.019408796337396474,0.010084606802066675,0.02569778761374288,-0.0036144209139078575,0.004271795330990045
HKK26_RS00160,0.0020390764204165496,-0.030193697310592946,0.03136562676850513,0.010903354513860104,-0.018718031729062265,0.0017321802513534104,-0.004449214679041403,-0.01347735522183416,0.009518120906047655,-0.017341614196176282,-0.025767342927743127,0.0537908403094152,-0.0034916497304463404,0.018256848674546116,-0.04539171436640011,0.14821321087950262,0.009549828887242068,-0.0004254111849290953,-0.0005467711028496763,-0.004531083349698184,-0.01079676215256061,-0.004090528238491984,-0.010556052365987854,0.019068889929402373,-0.002677691713989383,0.0005323778918873709,-0.013772806049224715,0.012984470389053109,0.005435357075580924
HKK26_RS00165,0.017119040875139994,-0.005788081601537549,0.024726508019517764,0.03447578706007302,-0.015822369078879205,-0.004950235978551817,0.014884887178607465,0.012358660553306635,-0.02525727377889334,-0.06311655821251531,-0.050630988535861336,0.009462643557327548,0.02777900607658279,-0.002607167627426391,-0.029119695244777536,0.06822855454428896,0.0017079465735965567,-0.027050843749796133,0.0002000773084576369,0.004746347309184897,-0.00962612468721931,0.0013738943181113728,-0.013827031407495369,0.02384612951673636,-0.007993986715318127,0.010163009812570263,-0.008971615717835627,0.0010159334206167566,0.05816696763988162
HKK26_RS00170,0.0046442533220459725,0.011563752438794981,-0.005602779007880592,0.010849648144996909,-0.012581501027789821,-7.554782824958842e-05,0.025038957335013663,-0.016536751111131575,-0.016072519531598287,-0.006944519677212931,0.012682312063864956,0.0843385134363729,0.01770425056973026,0.02304230959153302,-0.035337930360405403,0.039732705146456916,0.000788807503331533,-0.009673535287743496,0.005136679173037641,-0.004594408203550718,-0.00939853521866634,0.012587819564479717,-0.0020108024903410576,0.006463531603925513,-0.001585249688472583,0.007039010791926628,0.019973564641005793,0.01515047732547351,0.0931823365846709
HKK26_RS00175,-0.007098157385954699,0.001448022427345717,0.05464228371368198,-0.010632765355388934,-0.02311930870092111,0.001205726264356716,0.045383003411870265,-0.00500423092563482,-0.003794150103202417,0.012979591763198264,-0.0512887098660253,0.014797325963928562,0.0021221604036552534,-0.0047824596985813475,0.015071245596376005,0.04954458813065311,0.029825326165246836,-0.01565611491226226,0.011876650396984876,-0.007051810777842421,-0.02073879836582045,-0.0021626305333347882,0.0012384912324556192,-0.010907076886152337,0.020321594934874673,0.03256499288785326,0.0010424013477782757,0.018782464646743616,-0.016344370576832242
