Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
HKK26_RS00070,0.001678563357432066,0.003747254270849436,0.005092533709814189,-0.000693274655560656,0.01319707942588274,0.05391561185122961,0.0013538290863793498,0.021454935172510826,0.011153609366611566,0.01739675462820052,0.0001019363510039612,0.039575818488340964,-0.03167153524240363,0.03296021639083332,0.001130298281272007,0.0050542369608534725,0.0728452995675391,-0.0037162734822779988,-0.02399861175259297,0.0009135258100301201,-0.006076612119599263,0.0004083208407470599,0.003071417970452925,-0.019264727145730593,0.008033143664956756,0.005406134673543707,0.0069145408546560025,0.010725837672804333,0.007228046667787628,-0.01900560965881045,0.0028509571450000934,0.033866218070268024
HKK26_RS00075,-0.02063154187489475,-0.003998558876266847,-0.0030273355049581364,-0.013759709010540643,0.008269963113509646,-0.003202817838915406,-0.0011113445649054018,-0.004284613022631269,0.023807575677213255,-0.018172709846130352,-0.009121244884662101,0.018970911139519334,-0.026654176892460347,0.033040986778220593,0.004805592931216531,0.011060203583857944,0.10503218272725556,-0.0076151518224607355,-0.006600566563393087,0.002259645646701247,-0.003048061684933567,-0.014619431142263526,0.0034481565515847835,-0.016425331165706568,0.01738429881817541,0.00807878195117301,-3.664511694745352e-05,0.007932963204303227,0.004401829878718062,-0.008842829538052963,2.738038836798802e-05,0.017072994717823045
HKK26_RS00080,0.005585828415033209,0.015135735186540957,0.010629607847655377,-0.004761221253271198,-0.013098531874045725,0.025986373706855824,0.017177804690662102,-0.019378859664984868,0.011398322656213667,0.003175532527253038,0.028556032368260792,0.01800970713389126,-0.016812487560804258,-0.0062419774672265085,-0.006120376383398062,-0.03328496439184913,0.029195676955792192,0.0059213605271410015,0.001614584927265381,-0.0097809516911448,0.009154594307984782,-0.015016648675284478,0.01240490376594878,-0.02829996240769933,0.0021206663961551193,-0.04080688400447773,-0.02609903571909517,-0.016917183698432238,-0.026799450393571247,-0.005344003789290951,0.02420213881338724,-0.009512519231169188
HKK26_RS00085,0.023107742728810998,0.026379213113308122,0.009477043493065303,0.031067461537970166,-0.051625509262557996,-0.02102387612734837,-0.006878919379144452,0.010439235508974116,0.030333995073433217,-0.009524831211315383,-0.04611588570726977,0.027851330769542,0.0488309419758104,-0.006186858053368399,0.002574045711809178,0.0010961355270201595,-0.014988763347555613,-0.001388595336754207,-0.015064395352168598,0.0014540431878994444,-0.012534621751390607,0.004532264618943353,-0.056642666446725894,-0.00651228576327127,-0.02866365420792516,-0.046742100720977786,0.029417944898300474,-0.011818243904069213,-0.016134193321226925,0.008206406349925078,0.043435510858126795,0.027244241990443216
HKK26_RS00090,0.00903055734907407,-0.0038439006301708902,0.007407675453514444,0.0016866343809131992,0.013357821932333876,0.007113980383687515,-0.0050590710408969595,0.0014059240974195358,0.0008850657562253566,-0.012926600489846108,0.02385004836226669,0.016420605255800656,-0.014580306234756639,0.028003006703194708,0.020648964999334975,0.017858551909429792,0.003178865800737777,-0.0075402232856362885,-0.016828585665702625,-0.02857000191585325,0.006512928400230913,-0.014095366977649623,-0.020277534437188893,0.0006995665818718062,-0.0020748376270914365,-0.024447499792925376,-0.016556732117862773,0.002922733752357759,9.443967966567371e-05,0.005972551444137919,0.0035392624413749033,-0.011466700515030499
HKK26_RS00095,0.002829057895914374,0.017218877463357308,0.009104494440968235,-0.020817379984105426,0.013534940035611518,-0.015817013506931894,0.023522175251086467,0.007118746387142167,-0.004928808599320562,0.006037129626325821,0.03902892166943617,-0.002539671174738421,-0.004899772388445418,0.008999072482521143,0.0196184485548721,-0.008309950794137487,0.0125462490956347,-0.004117304807779016,0.005165846698103269,-0.022021387896058772,0.0017254707648663298,0.004678402588387455,0.01700138883904739,-0.013904354248893747,-0.01676753705247374,-0.013107412297700436,0.004699483225820739,0.01397981284596042,0.0027237445698475387,-0.009298654131825243,-0.0048110852529704325,-0.001632819760072728
HKK26_RS00100,0.011864475794179137,0.006565345593452458,0.020200655471181037,-0.014223606179147323,0.01857427375328495,-0.003959231065519358,0.019386389557121197,0.002098750459440047,0.021871030139707117,-0.0011275720788541607,0.056229962094511324,0.012366632836766377,-0.003288423829056536,0.015645351649989134,0.01540954398980707,-0.003174939449970668,-0.0023000835840771613,-0.014787866719610838,0.002245538966559003,-0.009675684442453253,0.01470840034589967,0.018956936423344794,0.016276845353881974,-0.002699903891465194,-0.0008010099441580957,0.001973354166771035,-0.007506953958824531,0.051793900230432795,-0.00779293882878736,0.01012449763205643,0.0038479563969258447,-0.016493273903599982
HKK26_RS00105,0.0018414844001246225,-0.0015739229033125647,0.009027234750433122,-0.0010229712432832444,0.013199781486291268,-0.002868968676352652,0.005096349950642686,-0.007846066764715973,0.007895139011307499,0.003856736220953892,0.02451000014733958,-0.00927548868603915,0.0037129876268524233,0.014652820118343209,0.04024075061093271,0.004067616280832454,0.001415766144003073,-0.005365643314975929,0.0032266872988429697,-0.011966710911198433,-0.0066737342499364125,0.0038168393409031974,0.013208449214250653,-0.005911974228474643,0.006392566141575728,-0.0025398286876798172,0.002095472353760604,0.008127071931961034,-0.0006265117324392502,-0.0030384313604908705,0.02034715778420317,0.021793574255249113
HKK26_RS00110,0.02124990260919383,0.008956727526861035,0.0032512995651209856,-0.0023005494393120544,-0.0004425395470190852,-0.0034360184268791825,0.016969348233275863,0.00017951607097681943,-0.002683584887621352,0.0035258866500523975,-0.003966236090518433,0.006120765093510031,-0.018331410370720575,-0.0022249427410013702,0.005765549367518366,-0.006777534017071497,0.008079868612727782,-0.014812668559986896,0.011809522584098587,-0.022728292825696165,-0.019519072914138912,-0.008573679576045377,-0.004838684030098065,-0.0055341320715956415,0.005209495330696849,-0.02609717995531245,0.013938583710953063,0.009283173475749997,0.005258749078808883,-0.00012949432791444743,-0.001191456288756949,-0.019381035901878178
HKK26_RS00115,0.016388203545809894,-0.005867996835008656,-0.010538164316234526,-0.014652469100003514,-0.008729464807531357,0.006896057082242863,0.019772608228809597,-0.01968799036953486,0.0008409928855073076,0.03294500011568588,-0.005287802198918635,0.0175507761042149,-0.010277894828297763,-0.020754035137850346,0.009374826608136752,-0.03870386856064109,0.02041133597187567,-0.02694497839367167,0.004280248572567344,-0.010386762881702203,-0.025895643216112815,-0.004339109252752899,-0.03272023727259901,0.006983003031585521,-0.0037688872577445634,-0.012487513565805596,0.01932651626831519,0.01875298498674831,0.010458533327188305,0.006287057876549134,0.013232017219574599,-0.006085844776514443
HKK26_RS00120,-0.003642075824596525,-0.013710835052027415,0.019553394160106655,-0.0033933443837572143,-0.002395556928982815,-0.004828361911011106,0.0063190792763688644,-0.017761857392080086,0.0013792263000094458,0.012942182804209166,0.0010790546213733764,0.008075445757320608,-0.015559843703961152,0.014315359376827576,0.011023084154515406,-0.0018637474882722694,0.01697481690321551,-0.019197883930732865,0.012570787890323419,-0.016634086953761878,-0.00880818304380346,-0.01385668747003738,0.05376619048237935,-0.003965616909859081,0.01712184278778637,-0.005910611472558757,0.010177025950133386,-0.002673574332883053,0.025086890352625655,-0.007295958555172102,-0.026008136305622577,0.03572567474385508
