,gene_id,database,kegg_id
1560,SYNPCC7942_RS00310,KEGG_pathway,map00520
1561,SYNPCC7942_RS00310,KEGG_pathway,map01100
1565,SYNPCC7942_RS00345,KEGG_pathway,map00750
1566,SYNPCC7942_RS00345,KEGG_pathway,map01100
1567,SYNPCC7942_RS00345,KEGG_pathway,map01120
1572,SYNPCC7942_RS00360,KEGG_pathway,map00900
1573,SYNPCC7942_RS00360,KEGG_pathway,map01100
1574,SYNPCC7942_RS00360,KEGG_pathway,map01110
1575,SYNPCC7942_RS00360,KEGG_pathway,map01130
1579,SYNPCC7942_RS00425,KEGG_pathway,map00500
1580,SYNPCC7942_RS00425,KEGG_pathway,map01100
1581,SYNPCC7942_RS00425,KEGG_pathway,map01110
1589,SYNPCC7942_RS00450,KEGG_pathway,map00361
1590,SYNPCC7942_RS00450,KEGG_pathway,map00364
1591,SYNPCC7942_RS00450,KEGG_pathway,map00623
1592,SYNPCC7942_RS00450,KEGG_pathway,map01100
1593,SYNPCC7942_RS00450,KEGG_pathway,map01110
1594,SYNPCC7942_RS00450,KEGG_pathway,map01120
1595,SYNPCC7942_RS00450,KEGG_pathway,map01130
1599,SYNPCC7942_RS00460,KEGG_pathway,map00130
1600,SYNPCC7942_RS00460,KEGG_pathway,map01100
1601,SYNPCC7942_RS00460,KEGG_pathway,map01110
1604,SYNPCC7942_RS00470,KEGG_pathway,map00240
1605,SYNPCC7942_RS00470,KEGG_pathway,map01100
1612,SYNPCC7942_RS00475,KEGG_pathway,map00230
1613,SYNPCC7942_RS00475,KEGG_pathway,map00240
1614,SYNPCC7942_RS00475,KEGG_pathway,map01100
1615,SYNPCC7942_RS00475,KEGG_pathway,map03030
1616,SYNPCC7942_RS00475,KEGG_pathway,map03430
1617,SYNPCC7942_RS00475,KEGG_pathway,map03440
1619,SYNPCC7942_RS00480,KEGG_pathway,map02020
1622,SYNPCC7942_RS00495,KEGG_pathway,map00860
1623,SYNPCC7942_RS00495,KEGG_pathway,map01100
1638,SYNPCC7942_RS00500,KEGG_pathway,map00010
1639,SYNPCC7942_RS00500,KEGG_pathway,map00230
1640,SYNPCC7942_RS00500,KEGG_pathway,map00620
1641,SYNPCC7942_RS00500,KEGG_pathway,map01100
1642,SYNPCC7942_RS00500,KEGG_pathway,map01110
1643,SYNPCC7942_RS00500,KEGG_pathway,map01120
1644,SYNPCC7942_RS00500,KEGG_pathway,map01130
1645,SYNPCC7942_RS00500,KEGG_pathway,map01200
1646,SYNPCC7942_RS00500,KEGG_pathway,map01230
1647,SYNPCC7942_RS00500,KEGG_pathway,map04922
1648,SYNPCC7942_RS00500,KEGG_pathway,map04930
