Geneid,0,1,2,3,4
HKK26_RS00190,0.02922422084540312,-0.012906870249192057,0.006941149048990669,0.03799858020471068,-0.017530136818431588
HKK26_RS00195,0.032954329293606144,0.001323618253679267,0.00115418497066071,0.03927183963602047,-0.01235810055394815
HKK26_RS00200,0.004111844197908191,-0.01868818885697364,-0.0020468234348561165,0.05310006449369698,-0.014204740926129904
HKK26_RS00205,0.02989336927391785,-0.016682100937712118,-0.014557924995546832,0.03321238946411812,-0.02897199654675034
HKK26_RS00210,0.014535012415220148,-0.008375918590905553,-0.01278377535258947,0.02664136114669028,-0.020490192060994148
HKK26_RS00215,0.012733680879661934,-0.010611001612032671,-0.006873500480247675,0.03480006165944336,-0.01930650589462923
HKK26_RS00220,0.03136111340541558,-0.015273762025579379,0.003288958698160684,0.04057139285202288,-0.018420252072585873
HKK26_RS00225,0.002332825087159153,0.018676966587536887,0.0007725312665165335,0.027032172078860522,-0.013833050322037061
HKK26_RS00230,0.004928817914327257,0.004695554781672962,0.008358446497045192,0.023053053465158114,-0.007455013151063998
HKK26_RS00235,0.0229987248134454,0.04187620206332109,0.007778190264494836,0.0346498449191505,-0.013736036729300911
HKK26_RS00240,0.004275401432393808,0.035613763722411804,0.054574394720953955,0.05138131138513062,-0.004556242383980527
SYNPCC7942_RS00005,-0.007883066867140546,-0.011782552176249534,0.0017615525679864203,0.007226746843931997,-0.0096635521268525
SYNPCC7942_RS00010,0.01069042952713798,0.0063140477498198275,-0.0022276222428848093,-0.005852984665668616,-0.01073544079324317
SYNPCC7942_RS00015,-0.011472730647492727,0.0011869519529136064,-0.00987812560456719,0.010093313035460134,0.0028996986803590673
SYNPCC7942_RS00020,0.008103770463973495,0.004452453466519833,-0.044008663222274695,0.024752907766179635,-0.005227230508621619
SYNPCC7942_RS00025,0.024299650883106913,-0.04778431883559977,0.03919210068450181,0.013927820393162777,-0.0010037248128219865
SYNPCC7942_RS00030,0.01952276969427509,-0.03197644755900011,0.01064795722928468,-0.00902149704940081,0.02053288573504282
SYNPCC7942_RS00035,0.012202407260690898,-0.02594553022821057,0.012580501679731938,0.002707106920480612,0.018320472377341038
SYNPCC7942_RS00040,0.0024513679908699025,-0.011803300050033187,0.008873011289242954,0.0015932042583465694,-0.000918176045322716
SYNPCC7942_RS00045,-0.021518160801433206,-0.0011669212957969464,-0.016340588011697542,-0.016658937665227396,-0.004660242123376594
SYNPCC7942_RS00050,-0.008923498017648085,0.010480963591839927,-0.0014139356435981841,-0.0064731435122815225,-0.0029994249480719947
SYNPCC7942_RS00055,0.002610232560173978,-0.021782924942200507,-0.007427530726212686,0.013994844826575994,-0.02039911117551688
SYNPCC7942_RS00060,-0.03248844650169138,0.0018600160398383541,-0.00471071981225955,-0.014921107179394533,-0.023953785111515025
SYNPCC7942_RS00065,-0.059087500762447044,0.03384532704362708,0.006124571250986916,0.010175993777721881,0.008713245474959807
SYNPCC7942_RS00070,0.0028146614839844953,0.00027870282855501006,0.01000647074567715,0.004980755968486129,-0.029951546336501614
SYNPCC7942_RS00075,0.006772118421656869,0.008287575270828582,-0.0005359825156100508,0.003913601133358411,-0.024027730219954933
SYNPCC7942_RS00080,-0.041490263798261096,0.009683090081204859,-0.007720203353166513,0.001648939423059077,-0.005841324073906807
SYNPCC7942_RS00085,0.006839659754844263,-0.002988839779132331,0.002931403878141097,0.006608069171318314,-0.010468208808771093
SYNPCC7942_RS00090,-0.0009608230462766536,-0.022250974926532153,-0.0014073707271343684,-0.013071560033414184,0.0018469705092481856
SYNPCC7942_RS00095,-0.018115690945432077,-0.01747190784521198,-8.643991335658529e-05,-0.002753967739755441,0.009005574494583243
SYNPCC7942_RS00100,-0.008602691829368457,-0.03680426519180964,0.022233217603315158,0.04311488990106092,-0.00627739206937344
SYNPCC7942_RS00105,0.001992783771538934,-0.033519325458368165,0.014055408068706777,0.030612187070122202,0.0064705124746398035
SYNPCC7942_RS00110,0.007742225322372279,-0.011711358333657036,0.0010611416051613386,-0.009888406675023817,-0.005791016472639684
SYNPCC7942_RS00115,-0.0008620470641554406,-0.003733783606974983,0.002172641580699887,-0.011413456111950694,-0.008067355186901357
SYNPCC7942_RS00120,-0.017138627555539077,0.0018739401281939174,-0.0006125655736341045,-0.01697000779744187,-0.0012355167149269775
SYNPCC7942_RS00125,0.002722192610769772,0.018978668543522453,-0.01742015776036287,0.017885998184905147,-0.004974637977319695
SYNPCC7942_RS00130,0.019395441145711796,0.010883127333462046,-0.010220090300073705,0.009237457299219601,-0.008369753626334244
SYNPCC7942_RS00135,0.021388141794128162,-0.010823603602325222,-0.008201294987486977,0.003022548918177269,-0.002665241539818976
SYNPCC7942_RS00140,0.005997947596791782,0.012273211191076092,-0.0061626457713767225,0.0022070357831032493,0.006131900233059237
SYNPCC7942_RS00145,0.006959564362269371,-0.0064374200624557855,-0.004472768459641969,0.006713280054900592,0.01141152218858441
SYNPCC7942_RS00150,0.0016562628028796425,-0.008103797054535565,-0.007172158384781603,0.01444140184195271,-0.0010907028398167852
SYNPCC7942_RS00155,-0.008445792560953437,0.014286416777738403,-0.00591666074951251,-0.003228103634578792,0.010186645305831452
SYNPCC7942_RS00160,0.010500568231787261,0.005436803759761969,-0.002933279420259078,-0.0015062013787216092,-0.0021175020636036313
SYNPCC7942_RS00165,0.015706000767045675,0.031027201922833824,0.0272904967211003,0.0009766091465808582,-0.004240044131891482
SYNPCC7942_RS13645,0.015033883976958437,0.03779614558980513,0.026417292165745895,0.0063111216485790215,-0.007021883172484717
SYNPCC7942_RS00170,-0.05231533965528829,-0.034747436671155374,0.15126036123629286,0.06106384894929163,-0.025271642978636835
SYNPCC7942_RS00175,0.03826856584065169,0.013816811138452683,0.025750444419109036,0.017583562957328092,-0.018966752453979784
SYNPCC7942_RS00180,0.010001826143339727,-0.013792046312550512,0.013875382871466035,-0.012641918276903964,-0.016905713776271952
SYNPCC7942_RS00185,0.06270759000825525,-0.019024576273654552,-0.013634660211540035,-0.021846394145450563,-0.018182714178638423
SYNPCC7942_RS00190,0.013999040238301402,0.0010620780184361115,-0.011204048211153195,0.004983105660406257,-0.02239743018749631
SYNPCC7942_RS00195,-0.02576786390587948,-0.010771704985739596,0.07653122964915063,0.005226843278132559,0.0027482584965010204
SYNPCC7942_RS00200,-0.0066101227337418056,-0.025463069262397116,0.05926956752087007,0.006538271702727084,0.006327737289257581
SYNPCC7942_RS00205,-0.007796315922294056,-0.021456632422416286,0.025824301896400583,-0.016299391521223613,0.006790157747229377
SYNPCC7942_RS00210,-0.018674616572985737,0.0018951541940149335,-0.010867131641175126,0.00911142444910898,-0.016897335218686874
SYNPCC7942_RS00215,0.0023721612679415962,-0.006272376611615433,0.0014321052348459395,0.0036193983796268436,0.014821738981602177
SYNPCC7942_RS00220,0.011507103548713331,-0.010622161660580451,-0.00915816612738186,-0.023787044851947714,0.007579858107010352
SYNPCC7942_RS00225,0.01633477542424916,-0.007400164056390059,0.01773270051191016,-0.022636012405231075,0.007892528425591103
SYNPCC7942_RS00230,0.012157926018539274,0.02872812117835366,0.00820067739298041,-0.043310088759055426,-0.004846165505148183
SYNPCC7942_RS00235,0.03446364808414442,-0.009691360067327655,0.011044617671484363,-0.040547058965155196,-0.011487137966667522
SYNPCC7942_RS00240,-0.010866414172830739,0.029498964868499386,-0.0070319768052082895,0.01740929618007365,-0.01371441755610173
SYNPCC7942_RS00245,-0.0024950242046777055,0.02585447168371346,-0.009640564705031114,0.028297581881059023,-0.014793379177313265
SYNPCC7942_RS00250,0.006327338006021133,0.014111753930815787,-0.011215997570209395,0.003086319108390566,-0.012157948706835096
SYNPCC7942_RS00255,-0.002199114249573025,0.0010641655286912888,-0.007117321122100172,-0.0073187560689440476,-0.02785109442200349
