Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
HKK26_RS00055,0.01746449734411976,-0.028809826145057584,-0.028544602854665004,0.0200605950496673,0.008115907072208323,0.0064451945639270045,0.02106372816743597,-0.045719674506802456,-0.022049017956063705,-0.009267708883982389,-0.00594314130280195,-0.005848020131838122,0.012511792275558764,-0.015531192933573343,0.03867159073734519,-0.004718799484644639,0.0020454153425049563,0.007795961258127737,0.022033650006130272,0.0025659080796734306
HKK26_RS00060,0.013296554276920327,-0.028424808314427865,-0.029863568176762126,0.02030073732288397,0.039042761772749644,0.01883029068193682,-0.0073014460201196495,0.048216120348544986,-0.017110601810789747,-0.02211789189228855,0.0060027272187736964,-0.0047964864606160375,-0.0032486990146476055,-0.00561238258276434,0.01678338468093755,-0.0007130997609146009,0.01770225708180351,0.016058359241067806,-0.002042895710633515,-0.011273107057256912
HKK26_RS00065,0.06209608134075771,-0.054114496182632886,-0.08434234021413092,0.057764305872173495,0.0169463980370583,0.02173606902455514,0.04064885724870757,0.02692361509647442,-0.013469446251776455,-0.021422695090142687,0.005499866578128026,-0.02432699761489333,0.0661721602125734,0.02272273127394037,-0.019056283468201388,-0.0014763950315049442,-0.01877977348949431,0.031307053453540415,-0.05458499367753623,0.017693108620449545
HKK26_RS00070,0.021698266102359986,-0.02464824435528298,-0.06738441825844599,0.040033210796042704,-0.011115932902128388,0.004289776292598071,0.001964987806987119,0.015003263234097435,-0.00948601586986358,-0.003915789007690588,0.012005398318806804,-0.01631478874810995,0.0466630749594015,0.010095203442850037,0.002824725185259394,0.005194346089700592,0.0013173282126600042,0.003544253124813068,0.025570043473679162,0.009384405693326972
HKK26_RS00075,0.017586560404868123,-0.054446583470323044,-0.06866275616288259,0.02497732093642183,0.004303391560059388,-0.002236715318143389,0.011050444283094539,0.010021045168751875,-0.0193362092513117,-0.009314126794525764,0.006136676801646793,-0.001647169960999333,0.032461032938239126,0.020673002857477196,-0.014683068712631338,-0.003571933037356352,0.0303754045280319,0.018325332091738044,-0.025947397009306452,0.010036445694006182
HKK26_RS00080,0.039167044549674714,0.024469888705127934,-0.009664719337131243,0.029173647632191973,0.008155722782863983,0.004172535813051198,0.0031370090941980765,-0.07800773055896097,0.004250193229680426,-0.006338336400814538,-0.006423694119311325,-0.009272721290993475,0.0019051997907984794,-0.007769137598659668,0.00010454256766687958,-0.011137243254288318,0.019887999423949147,0.014188674154833693,0.02089684701407522,-0.01227244563419071
HKK26_RS00085,0.03449279826628766,0.008264822096018185,0.005320027041125703,0.02177868056921568,-0.016855887054998592,0.025229054468509912,-0.007543891457897214,-0.014351597628876424,0.03611905869290019,-0.01404134763950259,-0.03969331479103193,-0.00920616302753248,0.038213399115916646,0.011852687045401704,0.037375846618255666,-0.03296063973111519,-0.016241079091264043,0.03299775696612425,-0.008671501701414492,-0.0254666837112226
HKK26_RS00090,0.015193875157814703,0.0014173319917001057,-0.03626029160568555,0.02174644545390233,-0.005530780034866184,-0.005532202600233916,0.0009120580142781263,-0.007720408089335138,-0.0038266300721147613,-0.0018304182548132882,0.006444364842648833,-0.009738224416891466,-0.005019627189343819,-0.019405800258043185,0.009226546161946545,0.0016147991822622846,0.028879748030635855,-0.007153782551659786,0.007788058955803836,-0.009713209196673395
HKK26_RS00095,0.033817730441382,-0.000935492700014291,-0.0355928764138642,0.005275113077207489,0.001449596846674549,-0.010710783002328386,0.015178657460349392,-0.03736462709638971,-0.013355645625942502,-0.007623251592786794,0.016684923155850503,-0.01945913435294615,0.0006496520803959157,-0.014173927358420747,-0.012336366417918292,0.009880770126030215,0.02675634702987444,-0.013492045217971345,0.0030196640314425816,-0.009693846230830538
HKK26_RS00100,0.025049638072485676,0.03400262554610313,-0.007013513892637156,0.011024910533831344,0.006864363288679133,0.0003261669294381579,0.027057919475322798,-0.005626275315798803,-0.0027765250555260644,-0.012276017004947822,0.01486282182658416,-0.00852350799431407,-0.0008151956610092505,-0.02441919983942563,0.003978572054513549,0.009344896390259715,0.019239964762260586,0.005588350890077233,-0.014171102707118662,-0.01153188709140514
HKK26_RS00105,0.015914532033062253,0.0003552490864211565,-0.026476450322676898,-0.003049572497759067,-0.01068104058471301,0.013885302182020744,0.012269453109301333,-0.017095468318165667,-0.005215774633043799,-0.008714905250671978,0.011262785972887521,-0.01007219736365123,-0.017813542708478854,-0.011732835614575315,-0.008768964192540356,-0.0027244327332197026,0.013691982644145478,0.013861962781339086,-0.005219648235188414,-0.004140478483102211
HKK26_RS00110,0.031687218958930126,-0.024014955123663723,-0.005784886235425052,0.007894336397966715,-0.012745412982849466,-0.00340086527351633,0.03395937670154624,-0.016312121555197834,0.01726615416344282,-0.018461787283944403,-0.012979760705623303,-0.0066483077448207,0.006895319292504591,-0.01127423779880106,0.02136980319701616,0.008622429027156226,0.02441787043833826,-0.007943498876702686,0.0010854439304688835,0.0017728309854714052
HKK26_RS00115,0.03799350724168556,-0.026460039297449875,0.0041186315358985775,0.010776555974046802,-0.0070289557517596475,-0.0031204298261498014,0.019430405365183298,0.018603104983007105,0.007622730765655659,-0.02618444884111395,-0.031801990717409294,0.014515349482583406,0.013534575798255458,-0.019407902397405495,0.02550903001279557,-0.008969526670097082,0.005838696920104282,0.003511001860753311,-0.007099051679568653,0.002420730431918426
HKK26_RS00120,0.026408867389845537,-0.023552300748036395,-0.018319051045558272,0.007632142253688746,-0.00317365883867668,0.01519428911094824,-0.001376025910110846,0.03148348390269611,-0.01926970231140952,-0.02055426203120191,0.045099695365387375,-0.016043295045917658,0.004470220487820164,-0.010764167809639617,0.004845957709796879,0.008426279394412966,0.023698346089866498,0.009864318857400554,-0.011984421965692982,0.003445677191739872
